Wn,Alginate,A,B,C,D,E
1677.794,0.09647515103861036,0.7243599436199999,0.7441870456452091,0.27888688152676716,0.41087992781665506,0.2924111518293347
1679.722,0.09134291299501485,0.6954407735448536,0.714839980758739,0.2692202617277291,0.39655088354919327,0.2809463921021138
1681.651,0.08542015109095234,0.6629742786497257,0.6826736006364812,0.2574290756187076,0.3790640405938703,0.2673304921022862
1683.579,0.07890458436319023,0.6266232633027594,0.6478411933940809,0.24342818715354966,0.35809504409390436,0.25155635289747447
1685.508,0.07405048302313376,0.592624214405115,0.6142380778076112,0.2316736029275343,0.34007618718770516,0.23839037814425737
1687.436,0.06935323184324278,0.5560925550946522,0.5778383306085868,0.21899953131116517,0.32059932546936953,0.22451187226497507
1689.365,0.0652039053473957,0.5201792876999202,0.5414492083402159,0.20756755663136506,0.3027715899908043,0.2116928564218585
1691.293,0.06151090115506926,0.4836247080531287,0.5032203368886629,0.1963643040780137,0.2853924893795136,0.1991780618562144
1693.222,0.05760836766245437,0.44437242813408373,0.4620959763334726,0.18365133847782866,0.26592772727832126,0.18545393913655833
1695.15,0.053479596982552814,0.4032352930227092,0.4185009960699705,0.1700644195848244,0.2454482429043837,0.1707948600749083
1697.079,0.04864320004182093,0.36030005376538965,0.3738756688538539,0.15452096676706678,0.2221743423472344,0.15443822501436774
1699.007,0.04321137945199259,0.3142924991986408,0.32763758380059227,0.13680801920913263,0.19564378287363623,0.13636581095389633
1700.936,0.03915669272504931,0.27434732213596,0.28691428162121874,0.12187572908143979,0.1731133990666074,0.1218707349398636
1702.864,0.03549053811200104,0.23692567280200835,0.2490048548170191,0.10743196514904914,0.15147350804872337,0.10820210897338417
1704.793,0.033108847764398826,0.206320816590045,0.21773184022942693,0.09591918830089122,0.1340204368113769,0.09794928799413495
1706.721,0.0319013672357973,0.1829558078984778,0.19229295559164708,0.0888339610138827,0.12304246364641219,0.091457263590226
1708.65,0.030380240948352084,0.1637905027402538,0.1709792267366903,0.08300897370974891,0.11418165064114416,0.08574445951972051
1710.578,0.02773221305687344,0.14419227251207956,0.15017708628578907,0.07540249894818137,0.10330470456217138,0.07810404295816506
