Wavenumber,CoHA01,CoHA025,CoHA05,CoHA100
1544.727,0.8256221,0.8984191,1.190657,0.9128997
1546.656,0.8260252,0.9066049,1.19967,0.9167095
1548.584,0.8210413,0.9096174,1.206344,0.9159967
1550.513,0.8269743,0.9098371,1.204287,0.9202383
1552.441,0.8242973,0.9122933,1.208965,0.9205236
1554.37,0.824805,0.9116414,1.20854,0.921316
1556.298,0.8197192,0.9100522,1.210551,0.9183384
1558.227,0.8159479,0.8873848,1.192081,0.9047535
1560.155,0.8544945,0.8998404,1.184954,0.9322789
1562.084,0.84274,0.9187928,1.210164,0.9358433
1564.012,0.8385066,0.9227252,1.216894,0.9358802
1565.941,0.8418992,0.9249024,1.218469,0.9388673
1567.869,0.8378191,0.9264058,1.223252,0.9376853
1569.798,0.8488485,0.9242082,1.216462,0.9427381
1571.726,0.8528205,0.9297581,1.22165,0.9471784
1573.655,0.8456517,0.9339113,1.230931,0.9454679
1575.583,0.8483285,0.9304035,1.226632,0.9453523
1577.512,0.8653411,0.9327623,1.221518,0.9545512
1579.44,0.8633775,0.9395136,1.230803,0.9561984
1581.369,0.8640982,0.9427254,1.235207,0.9577451
1583.297,0.8669196,0.9447387,1.2372,0.9597533
1585.226,0.8704719,0.9471965,1.239275,0.9621201
1587.154,0.8732186,0.949439,1.241635,0.9640694
1589.083,0.8768084,0.9516187,1.243821,0.9662347
1591.011,0.8805224,0.9536277,1.245658,0.9682125
1592.94,0.8842436,0.9560249,1.24809,0.9702908
1594.868,0.8891187,0.9576185,1.249181,0.9726878
1596.797,0.8952663,0.9604353,1.251025,0.975715
1598.725,0.8987262,0.9633234,1.254285,0.9775081
1600.654,0.9031738,0.9658624,1.256774,0.9796311
1602.582,0.9090621,0.9675341,1.257802,0.9820722
1604.511,0.9155064,0.9704113,1.2604630000000001,0.9849399
1606.439,0.9192119,0.9727848,1.263643,0.9863624
1608.368,0.9269673,0.9745202,1.264276,0.9890698
1610.296,0.9347429,0.9768879,1.265591,0.9921298
1612.225,0.9404757,0.9808296,1.269746,0.9948303
1614.153,0.9395297,0.9832547,1.275603,0.9939296
1616.082,0.9480053,0.9805667,1.271911,0.994863
1618.01,0.9670969,0.9827335,1.267747,1.002939
1619.939,0.966172,0.9899374,1.27801,1.003997
1621.867,0.965525,0.9911272,1.282087,1.002829
1623.796,0.980484,0.9918793,1.277569,1.008293
1625.724,0.982648,0.9972687,1.283294,1.010355
1627.653,0.9865452,0.9996583,1.285578,1.012203
1629.581,0.9931793,1.002176,1.286551,1.01548
1631.51,0.9918001,1.006062,1.293077,1.015414
1633.438,0.9860592,1.006139,1.297504,1.01176
1635.367,0.992352,0.9979491,1.286699,1.010258
1637.295,1.008467,0.9997414,1.281064,1.019607
1639.224,1.004307,1.007259,1.291885,1.020647
1641.152,1.002025,1.009349,1.295593,1.020434
1643.081,0.9981429,1.010676,1.299799,1.019019
1645.009,0.9906142,1.007415,1.301289,1.014023
1646.938,0.9999422,0.9964906,1.285311,1.015236
1648.866,1.002552,1.002497,1.288886,1.020712
1650.795,0.9863701,1.006616,1.301801,1.013729
1652.723,0.9847777,0.9836673,1.280606,1.00203
1654.652,1.004651,0.9900152,1.274787,1.020597
1656.58,0.9921521,1.001376,1.291652,1.021441
1658.509,0.9836572,1.003536,1.297867,1.019828
1660.437,0.9757763,1.002071,1.300002,1.017279
1662.366,0.9740766,0.9965741,1.294102,1.016428
1664.294,0.9746244,0.9947857,1.290965,1.018427
1666.223,0.9636804,0.9968536,1.298643,1.015398
1668.151,0.9553947,0.9914513,1.297275,1.010813
1670.08,0.9587756,0.9826533,1.285184,1.012016
1672.008,0.9550871,0.9842503,1.287658,1.013288
1673.937,0.9453714,0.9839101,1.292441,1.009737
1675.865,0.9484648,0.9777861,1.283625,1.011332
1677.794,0.9406338,0.980437,1.289717,1.010772
1679.722,0.9324628,0.9781803,1.291076,1.007949
1681.651,0.9230309,0.9748383,1.292296,1.003167
1683.579,0.9190316,0.958629,1.277802,0.9943744
1685.508,0.9322035,0.9578674,1.268702,1.004981
1687.436,0.9202859,0.9657117,1.282071,1.00448
1689.365,0.9162169,0.9643515,1.282241,1.003532
1691.293,0.9128193,0.9634832,1.283072,1.00298
1693.222,0.9021623,0.9640233,1.289629,0.998794
1695.15,0.8952889,0.9551433,1.284574,0.9923455
1697.079,0.898751,0.9470246,1.273969,0.9928679
1699.007,0.889447,0.9438507,1.275478,0.9867638
1700.936,0.9021442,0.9373056,1.262342,0.99205
1702.864,0.8925732,0.9466547,1.276578,0.9936796
1704.793,0.8858684,0.9450415,1.278479,0.9909126
1706.721,0.8904653,0.9419432,1.273135,0.9934828
1708.65,0.8863243,0.9444691,1.278401,0.9935728
1710.578,0.8827242,0.9441701,1.28041,0.9927331
1712.507,0.8764712,0.943175,1.283247,0.9902447
1714.435,0.8709092,0.9374989,1.280827,0.9862762
1716.364,0.8699202,0.9280007,1.27269,0.9824201
1718.292,0.8827134,0.9234087,1.261322,0.9884594
1720.221,0.8783687,0.9318259,1.272136,0.9917724
1722.149,0.8703778,0.9338518,1.278789,0.9896085
1724.078,0.8693219,0.9313536,1.27726,0.989066
1726.006,0.8658319,0.9304218,1.278319,0.9878555
1727.935,0.8599907,0.9290403,1.28008,0.985171
1729.863,0.8562478,0.9245052,1.277434,0.9825768
1731.792,0.8491228,0.9207345,1.277829,0.978205
1733.72,0.8509385,0.9081878,1.264085,0.9740377
1735.649,0.8585972,0.9098715,1.261372,0.9804549
1737.577,0.8451008,0.9152566,1.274016,0.97684
1739.506,0.8433222,0.910058,1.26943,0.9743595
1741.434,0.8413541,0.9081705,1.268778,0.9734829
1743.363,0.836991,0.906045,1.268896,0.9716039
